sample_id,seed,budget_fraction,selected_count,pressure_field_relative_l2,ratio_abs_error,true_cd,true_cl,predicted_cd,predicted_cl
1001,0,0.375,4227,0.04966259424384594,0.41082536290798666,0.048839268344755805,0.09631367267046716,0.026119861658260357,0.2713465643472132
1001,1,0.375,4227,0.012594933854910681,0.05166177933218774,0.048839268344755805,0.09631367267046716,0.05472416704832627,0.12016099012007389
1001,2,0.375,4227,0.11761561616018844,0.63392107089349,0.048839268344755805,0.09631367267046716,0.07510879486533592,-0.592174604072211
1001,0,0.5,5636,0.0494175664019356,0.3729068104817779,0.048839268344755805,0.09631367267046716,0.03150693650406697,0.23481324049683655
1001,1,0.5,5636,0.045778689415938364,0.3303748414722328,0.048839268344755805,0.09631367267046716,0.04436693369606748,0.25107104575862504
1001,2,0.5,5636,0.0996619020845416,0.6701319840173855,0.048839268344755805,0.09631367267046716,0.07192503902514961,-0.4411321485744816
1001,0,0.75,8453,0.062414811509151645,0.351091721797934,0.048839268344755805,0.09631367267046716,0.05658517116913886,0.36273988770870164
1001,1,0.75,8453,0.06741953137691355,0.38197805895977655,0.048839268344755805,0.09631367267046716,0.04910246431514889,0.392482316546624
1001,2,0.75,8453,0.051841216030674625,1.0170290045173385,0.048839268344755805,0.09631367267046716,0.05008336690435343,-0.09821356281967623
1001,0,1.0,11271,0.00438867998063809,0.006009144092058993,0.048839268344755805,0.09631367267046716,0.05067575703289536,0.10113379902968495
1002,0,0.375,4227,0.057908485532791196,0.1594257143836753,0.022283095564107937,0.1394090045803521,-6.339667921609839e-05,-0.15313183801179772
1002,1,0.375,4227,0.0505986306667525,0.1058303784014812,0.022283095564107937,0.1394090045803521,0.024746311407175203,0.45818580552948013
1002,2,0.375,4227,0.03151448904528506,0.11681034639844186,0.022283095564107937,0.1394090045803521,0.005332793733096274,0.12393381318977946
1002,0,0.5,5636,0.053220907593248115,0.1937496041503639,0.022283095564107937,0.1394090045803521,0.005044254916266668,-0.1487546862122766
1002,1,0.5,5636,0.06251890224993842,0.10210172127224662,0.022283095564107937,0.1394090045803521,0.03151786536275195,0.5458773905006413
1002,2,0.5,5636,0.04263031900241662,0.2573680906303769,0.022283095564107937,0.1394090045803521,0.012595388556819612,-0.12914588681189842
1002,0,0.75,8453,0.020833763379549453,0.5674942322141754,0.022283095564107937,0.1394090045803521,0.019691311628436153,0.027073274529764473
1002,1,0.75,8453,0.08058939309880739,0.09380599508671829,0.022283095564107937,0.1394090045803521,0.04399147027251488,0.6661970628539216
1002,2,0.75,8453,0.06780349621306542,0.18999144279043859,0.022283095564107937,0.1394090045803521,0.010720929659823788,-0.35556601410682015
1002,0,1.0,11271,0.0014573084154796486,0.0125618278368817,0.022283095564107937,0.1394090045803521,0.0224844937693404,0.13041933033796796
1004,0,0.375,4227,0.07732380986111127,0.008107683232594254,0.031353369295709616,0.16655849933677344,0.02530412080754816,0.12887248233794302
1004,1,0.375,4227,0.111579972857025,0.10763309436557199,0.031353369295709616,0.16655849933677344,0.07307178449899467,0.9064933231630891
1004,2,0.375,4227,0.08222332704982753,0.02571724871517425,0.031353369295709616,0.16655849933677344,0.02783375500682275,0.17125815428082847
1004,0,0.5,5636,0.04602220846951461,0.10796606876231987,0.031353369295709616,0.16655849933677344,0.03263548470867997,0.4065393867092242
1004,1,0.5,5636,0.10297117513996178,0.11147976465209139,0.031353369295709616,0.16655849933677344,0.06107066438646466,0.7955781531161488
1004,2,0.5,5636,0.0826154578212626,0.11357330862758813,0.031353369295709616,0.16655849933677344,0.0502321361775834,0.6727301053987832
1004,0,0.75,8453,0.05633132168663946,0.10805522603043044,0.031353369295709616,0.16655849933677344,0.03698026483032521,0.46117439402958166
1004,1,0.75,8453,0.062328365739453336,0.10066813510834996,0.031353369295709616,0.16655849933677344,0.04341123838491005,0.4957077911180136
1004,2,0.75,8453,0.005398764017527246,0.0076508335930935145,0.031353369295709616,0.16655849933677344,0.030186338088964804,0.1671525479169332
1004,0,1.0,11271,0.0025004239997730073,0.005203935149509148,0.031353369295709616,0.16655849933677344,0.030130132512707995,0.16461094595372852
1005,0,0.375,4227,0.08049395677279213,0.36774402289723696,0.024129490197056895,0.0689260119938315,0.008264702635239408,-0.4678341581990816
1005,1,0.375,4227,0.02795001340261952,0.27196339568210326,0.024129490197056895,0.0689260119938315,0.020985777225521474,0.26865320930839404
1005,2,0.375,4227,0.04064484958446551,0.4610765916958039,0.024129490197056895,0.0689260119938315,0.0061485614433675825,-0.05539321897183489
1005,0,0.5,5636,0.09287976876035972,0.38142707574623785,0.024129490197056895,0.0689260119938315,0.018509971924144258,-0.5904498037005382
1005,1,0.5,5636,0.054557778800105795,0.3733747717679903,0.024129490197056895,0.0689260119938315,0.005068563583970166,-0.2175663853575985
1005,2,0.5,5636,0.06143157385214189,0.3750266435485657,0.024129490197056895,0.0689260119938315,0.008379950261186127,-0.3358899195203921
1005,0,0.75,8453,0.06688623252092077,0.39871988397112473,0.024129490197056895,0.0689260119938315,0.018360345274369024,-0.37746068368609303
1005,1,0.75,8453,0.04873676871887746,0.371284332450306,0.024129490197056895,0.0689260119938315,0.003916151806923042,-0.18467021551943172
1005,2,0.75,8453,0.007027880276236583,0.07552451212008604,0.024129490197056895,0.0689260119938315,0.023516146039852637,0.08565228611812124
1005,0,1.0,11271,0.001618638927778618,0.006150064288522827,0.024129490197056895,0.0689260119938315,0.024607978530243126,0.07154978073280621
1006,0,0.375,4227,0.05622672193707459,0.01023977632298613,0.07877103472777022,0.7278004835629109,0.09175594716271102,0.936362983733196
1006,1,0.375,4227,0.039429482570208306,0.06120041116374735,0.07877103472777022,0.7278004835629109,0.030774871016666375,0.6543498108449386
1006,2,0.375,4227,0.05186378654062261,0.019602389880046964,0.07877103472777022,0.7278004835629109,0.08483913447310514,0.957236366085939
1006,0,0.5,5636,0.03597562474138314,0.006777229289822342,0.07877103472777022,0.7278004835629109,0.09936120544676277,0.8639439047985309
1006,1,0.5,5636,0.046350533753413,0.048411735133488114,0.07877103472777022,0.7278004835629109,0.03588638748472329,0.5999072023247848
1006,2,0.5,5636,0.05689143921175546,0.016424198491911526,0.07877103472777022,0.7278004835629109,0.08551367347204272,0.9314460649777017
1006,0,0.75,8453,0.02145255170259175,0.0028042355170178335,0.07877103472777022,0.7278004835629109,0.08739911962440829,0.7871251056690931
1006,1,0.75,8453,0.015702388852617988,0.007110307694093196,0.07877103472777022,0.7278004835629109,0.07996935680626346,0.7908258389612137
1006,2,0.75,8453,0.04972936008404578,0.005726627738014398,0.07877103472777022,0.7278004835629109,0.09429083343191147,0.9198656526619432
1006,0,1.0,11271,0.0028116330152539487,0.0005701089037352947,0.07877103472777022,0.7278004835629109,0.07880738347920802,0.7319920858243589
1007,0,0.375,4227,0.09969292072284897,1.5054490092453907,0.03496138259813211,0.024176366211576324,0.035075289156917745,-0.5909754645260451
1007,1,0.375,4227,0.110236318496753,1.4992538061029301,0.03496138259813211,0.024176366211576324,0.03262540195479613,-0.6137634610994067
1007,2,0.375,4227,0.022151708248024513,1.2416056946941252,0.03496138259813211,0.024176366211576324,0.03299491881987999,0.1613508164868651
1007,0,0.5,5636,0.09232980186397798,1.4929170133081653,0.03496138259813211,0.024176366211576324,0.02066643863317733,-0.441406469775914
1007,1,0.5,5636,0.0535998021957481,1.5555163317344698,0.03496138259813211,0.024176366211576324,0.024715849018326245,-0.22588294284495727
1007,2,0.5,5636,0.06913186763252446,1.3340192383752063,0.03496138259813211,0.024176366211576324,0.04963933442925678,0.4428988839177493
